Customer_ID,Full_Name,Email,Signup_Channel
C0054,Katherine Hernandez,k.hernandez43@email.com,App
C0055,Megan Coleman,m.coleman67@email.com,App
C0056,Joseph Allen,j.allen62@email.com,Online
C0057,Jasmine Evans,j.evans74@email.com,In store
C0058,Kathryn Martin,k.martin40@email.com,In store
C0059,Marissa Smith,m.smith36@email.com,In store
C0060,Mark Howe,m.howe18@email.com,Online
C0061,Lori Mcguire,l.mcguire15@email.com,App
C0062,Alexander Simon,a.simon22@email.com,In store
C0063,Stacey Harris,s.harris19@email.com,App
C0064,Tiffany Garrett,t.garrett58@email.com,App
C0065,Natalie Thomas,n.thomas27@email.com,App
C0066,Kristen Coleman,k.coleman19@email.com,In store
C0067,Christina Olson,c.olson62@email.com,Online
C0068,Erin Wright,e.wright34@email.com,Online
C0069,Michele Stewart,m.stewart20@email.com,In store
C0070,Martin Murray,m.murray78@email.com,Online
C0071,Judy Daniels,j.daniels55@email.com,In store
C0072,Regina Flores,r.flores64@email.com,App
C0073,Mikayla Ward,m.ward79@email.com,Online
C0074,Sean Evans,s.evans60@email.com,In store
C0075,Ashley Davis,a.davis32@email.com,Online
C0076,George Ballard,g.ballard55@email.com,In store
C0077,Mary French,m.french53@email.com,In store
C0078,William Mcdonald,w.mcdonald80@email.com,In store
C0079,Danielle Novak,d.novak82@email.com,Online
C0080,Madison Price,m.price39@email.com,In store
C0081,Tammy Evans,t.evans39@email.com,In store
C0082,Ashley Haney,a.haney63@email.com,In store
C0083,Holly Dennis,h.dennis98@email.com,App
C0084,Timothy Garcia,t.garcia32@email.com,App
C0085,David Chambers,d.chambers63@email.com,App
C0086,Kevin Green,k.green58@email.com,Online
C0087,Travis Anderson,t.anderson71@email.com,Online
C0088,John Cruz,j.cruz44@email.com,App
C0089,Jaclyn Young,j.young97@email.com,App
C0090,Laura Johnson,l.johnson14@email.com,Online
C0091,Brandi Rhodes,b.rhodes26@email.com,In store
C0092,Robert Alvarez,r.alvarez12@email.com,App
C0093,Amanda Dennis,a.dennis90@email.com,In store
C0094,Brian Johnson,b.johnson30@email.com,In store
C0095,James Andrews,j.andrews60@email.com,Online
C0096,Deborah Wolf,d.wolf20@email.com,In store
C0097,David Sawyer,d.sawyer39@email.com,Online
C0098,Erin Ramsey,e.ramsey52@email.com,Online
C0099,Eileen Mejia,e.mejia45@email.com,Online
C0100,Allen Sellers,a.sellers66@email.com,Online
C0101,Christina Vargas,c.vargas35@email.com,App
C0102,Paul Torres,p.torres91@email.com,In store
C0103,Martin Adams,m.adams69@email.com,Online
C0104,David Thompson,d.thompson31@email.com,App
C0105,Melissa Knight,m.knight69@email.com,In store
C0106,Angela Morris,a.morris89@email.com,App
C0107,Garrett Bishop,g.bishop70@email.com,In store
C0108,Mark Mendoza,m.mendoza37@email.com,App
C0109,Kenneth Martinez,k.martinez62@email.com,In store
C0110,Anthony Brady,a.brady87@email.com,App
C0111,Richard Mendez,r.mendez81@email.com,In store
C0112,Sherry Wang,s.wang90@email.com,In store
C0113,Molly Roberts,m.roberts68@email.com,In store
C0114,Michael Mccarthy,m.mccarthy63@email.com,App
C0115,Tamara Morales,t.morales36@email.com,In store
C0116,Elizabeth Olsen,e.olsen49@email.com,App
C0117,Jaclyn Ortiz,j.ortiz41@email.com,Online
C0118,Julie Bentley,j.bentley67@email.com,App
C0119,Misty Marquez,m.marquez61@email.com,In store
C0120,Robert Baker,r.baker89@email.com,Online
C0121,Wayne James,w.james15@email.com,Online
C0122,Carolyn Reynolds,c.reynolds90@email.com,App
C0123,Brett Hansen,b.hansen48@email.com,Online
C0124,Andrew Hamilton,a.hamilton16@email.com,Online
C0125,Austin Cook,a.cook85@email.com,Online
C0126,Valerie Hayes,v.hayes62@email.com,In store
C0127,Joseph Middleton,j.middleton38@email.com,In store
C0128,John Ray,j.ray94@email.com,App
C0129,Steven Taylor,s.taylor94@email.com,In store
C0130,Kelly Alvarado,k.alvarado68@email.com,In store
C0131,Adam Sanchez,a.sanchez54@email.com,Online
C0132,Kyle Marshall,k.marshall32@email.com,App
C0133,Katherine Martinez,k.martinez84@email.com,In store
C0134,Richard Boyle,r.boyle62@email.com,In store
C0135,David Roach,d.roach66@email.com,Online
C0136,Alexander Ruiz,a.ruiz20@email.com,Online
C0137,Donna Cole,d.cole39@email.com,In store
C0138,Janet Brown,j.brown16@email.com,App
C0139,Mary Carlson,m.carlson57@email.com,Online
C0140,Connie Rivera,c.rivera52@email.com,Online
C0141,Kendra Thompson,k.thompson88@email.com,Online
C0142,Joel Woods,j.woods10@email.com,App
C0143,Carolyn Bryan,c.bryan53@email.com,In store
C0144,Joseph Hunt,j.hunt35@email.com,App
C0145,Diana Dawson,d.dawson39@email.com,In store
C0146,Joshua Henderson,j.henderson72@email.com,App
C0147,Pamela Price,p.price72@email.com,App
C0148,Lori Jones,l.jones66@email.com,In store
C0149,George Nicholson,g.nicholson29@email.com,Online
C0150,Alexander Stephens,a.stephens98@email.com,Online
C0151,Elizabeth Smith,e.smith45@email.com,In store
C0152,Patty Gardner,p.gardner46@email.com,Online
C0153,Christopher Green,c.green36@email.com,App
C0154,Seth Jordan,s.jordan92@email.com,Online
C0155,Susan Martinez,s.martinez63@email.com,In store
C0156,Laura Chavez,l.chavez43@email.com,App
C0157,Vincent Howell,v.howell60@email.com,App
C0158,Erin West,e.west62@email.com,Online
C0159,Sheryl Jones,s.jones71@email.com,App
C0160,Christopher Chambers,c.chambers98@email.com,In store
C0161,Jessica Martinez,j.martinez62@email.com,In store
C0162,Miranda Tanner,m.tanner28@email.com,App
C0163,Jessica Horton,j.horton65@email.com,In store
C0164,Paul Johnson,p.johnson34@email.com,Online
C0165,Dana Oneill,d.oneill56@email.com,In store
C0166,Angela Ortiz,a.ortiz60@email.com,Online
C0167,Jessica Pollard,j.pollard16@email.com,App
C0168,Robert Holland,r.holland57@email.com,App
C0169,Joseph Larson,j.larson64@email.com,App
C0170,Kevin Medina,k.medina15@email.com,App
C0171,Dana Henry,d.henry41@email.com,Online
C0172,Brandy Martin,b.martin15@email.com,App
C0173,Troy Craig,t.craig27@email.com,App
C0174,Carlos Mason,c.mason61@email.com,App
C0175,Jacob Johnston,j.johnston71@email.com,In store
C0176,Reginald Robinson,r.robinson61@email.com,In store
C0177,Paul Martinez,p.martinez62@email.com,In store
C0178,Alyssa Woodard,a.woodard40@email.com,In store
C0179,Daniel Mack,d.mack30@email.com,In store
C0180,Adriana Lee,a.lee48@email.com,In store
C0181,Shawn Johnson,s.johnson50@email.com,In store
C0182,Michele Smith,m.smith83@email.com,In store
C0183,Meghan Arnold,m.arnold62@email.com,In store
C0184,Melissa Martinez,m.martinez47@email.com,App
C0185,Brandon Haney,b.haney88@email.com,In store
C0186,Chase Acosta,c.acosta83@email.com,App
C0187,Robin Diaz,r.diaz44@email.com,Online
C0188,Laura Patton,l.patton25@email.com,Online
C0189,Jose Wagner,j.wagner14@email.com,In store
C0190,Angela Taylor,a.taylor67@email.com,In store
C0191,Cynthia Johnson,c.johnson20@email.com,Online
C0192,Desiree Reed,d.reed80@email.com,In store
C0193,Jessica Taylor,j.taylor17@email.com,In store
C0194,Larry Gibson,l.gibson23@email.com,In store
C0195,Tony Reyes,t.reyes42@email.com,App
C0196,Dalton Arnold,d.arnold47@email.com,App
C0197,Cody Green,c.green59@email.com,App
C0198,Michael Reeves,m.reeves98@email.com,In store
C0199,Michael Davis,m.davis90@email.com,In store
C0200,Kevin Hayes,k.hayes11@email.com,App
C0201,Brittany Manning,b.manning83@email.com,Online
C0202,William Bell,w.bell21@email.com,In store
C0203,Paul French,p.french87@email.com,App
C0204,Lauren Harris,l.harris19@email.com,App
C0205,Tyler Hoffman,t.hoffman49@email.com,In store
C0206,Drew Bush,d.bush69@email.com,Online
C0207,Angelica Conley,a.conley40@email.com,In store
C0208,Rachel Berry,r.berry82@email.com,Online
C0209,Gregory Jordan,g.jordan52@email.com,In store
C0210,Roberta Gutierrez,r.gutierrez80@email.com,Online
C0211,Kevin Mathis,k.mathis17@email.com,Online
C0212,Jacob Duffy,j.duffy26@email.com,In store
C0213,Roberto Carter,r.carter91@email.com,In store
C0214,Debra Jimenez,d.jimenez24@email.com,In store
C0215,Corey Werner,c.werner66@email.com,In store
C0216,Megan Smith,m.smith34@email.com,Online
C0217,Carlos Ward,c.ward36@email.com,App
C0218,Danielle Smith,d.smith37@email.com,Online
C0219,Laura Ramos,l.ramos50@email.com,App
C0220,Levi Flores,l.flores87@email.com,In store
C0221,Anna Thompson,a.thompson89@email.com,In store
C0222,Samantha Hughes,s.hughes14@email.com,App
C0223,Kevin Boyle,k.boyle95@email.com,App
C0224,Jerry Rivera,j.rivera49@email.com,Online
C0225,David Olson,d.olson79@email.com,App
C0226,Sandy Weaver,s.weaver79@email.com,Online
C0227,Robert Hall,r.hall29@email.com,Online
C0228,Carla Mitchell,c.mitchell13@email.com,In store
C0229,Bryan Sanders,b.sanders22@email.com,In store
C0230,Shane Hicks,s.hicks85@email.com,In store
C0231,Crystal Garrett,c.garrett68@email.com,App
C0232,Jodi Jackson,j.jackson20@email.com,In store
C0233,Michael Moore,m.moore44@email.com,In store
C0234,Rebecca Stewart,r.stewart33@email.com,In store
C0235,Aaron Gonzalez,a.gonzalez79@email.com,Online
C0236,David Walton,d.walton15@email.com,Online
C0237,Taylor Maxwell,t.maxwell51@email.com,App
C0238,Robert Alvarez,r.alvarez23@email.com,In store
C0239,Kevin Stone,k.stone93@email.com,Online
C0240,Bill White,b.white33@email.com,Online
C0241,Danny Morris,d.morris72@email.com,App
C0242,Jessica Warner,j.warner10@email.com,App
C0243,Mark Fields,m.fields63@email.com,Online
C0244,William Brown,w.brown61@email.com,Online
C0245,Jerome Silva,j.silva45@email.com,App
C0246,Kathryn Bowman,k.bowman33@email.com,Online
C0247,Steven Hudson,s.hudson41@email.com,App
C0248,Angela Price,a.price55@email.com,In store
C0249,Carlos Park,c.park23@email.com,In store
C0250,Tammy Tate,t.tate25@email.com,App
C0251,Brittany Bishop,b.bishop21@email.com,In store
C0252,Zachary Cook,z.cook12@email.com,App
C0253,Abigail Davis,a.davis62@email.com,App
C0254,Kayla Rivera,k.rivera14@email.com,App
C0255,Daniel Davis,d.davis36@email.com,App
C0256,Krista Bennett,k.bennett61@email.com,App
C0257,John Castro,j.castro89@email.com,Online
C0258,Melanie Munoz,m.munoz77@email.com,Online
C0259,Robert Rice,r.rice24@email.com,App
C0260,Gavin Burns,g.burns35@email.com,App
C0261,Rebecca Acosta,r.acosta54@email.com,Online
C0262,Alicia Cherry,a.cherry35@email.com,In store
C0263,Richard Fletcher,r.fletcher41@email.com,In store
C0264,Roger Young,r.young54@email.com,App
C0265,Brian Schultz,b.schultz21@email.com,App
C0266,Susan Todd,s.todd68@email.com,Online
C0267,Natalie Figueroa,n.figueroa79@email.com,In store
C0268,Randall Peterson,r.peterson91@email.com,App
C0269,John Vaughan,j.vaughan12@email.com,In store
C0270,Adam Johnson,a.johnson68@email.com,In store
C0271,Leslie Allen,l.allen45@email.com,Online
C0272,Patricia Arellano,p.arellano12@email.com,App
C0273,Megan Gibson,m.gibson12@email.com,Online
C0274,Zachary Davis,z.davis68@email.com,Online
C0275,Bradley Powell,b.powell37@email.com,In store
C0276,Kevin Ferrell,k.ferrell35@email.com,In store
C0277,Alexander Turner,a.turner19@email.com,App
C0278,Olivia White,o.white72@email.com,In store
C0279,Marcus Jones,m.jones71@email.com,Online
C0280,Mary Cooper,m.cooper62@email.com,Online
C0281,Steven Bryant,s.bryant95@email.com,In store
C0282,Whitney Trujillo,w.trujillo58@email.com,In store
C0283,Sean Allen,s.allen35@email.com,In store
C0284,Stephanie Howard,s.howard82@email.com,In store
C0285,Mary Garza,m.garza16@email.com,App
C0286,Samuel Estrada,s.estrada81@email.com,Online
C0287,Leslie Martinez,l.martinez28@email.com,In store
C0288,Michael Smith,m.smith73@email.com,App
C0289,Kelsey Gonzales,k.gonzales53@email.com,In store
C0290,Danielle Horne,d.horne26@email.com,App
C0291,Shannon Werner,s.werner34@email.com,App
C0292,Eric Bell,e.bell48@email.com,App
C0293,Lori Flynn,l.flynn68@email.com,Online
C0294,Lisa Wallace,l.wallace75@email.com,In store
C0295,Andrea Oconnor,a.oconnor87@email.com,In store
C0296,Bethany Reed,b.reed75@email.com,Online
C0297,Donna Arnold,d.arnold19@email.com,Online
C0298,Jennifer Rodriguez,j.rodriguez22@email.com,Online
C0299,William Sanchez,w.sanchez11@email.com,Online
C0300,Gloria Swanson,g.swanson23@email.com,In store
C0301,Kelsey Rodriguez,k.rodriguez60@email.com,In store
C0302,Richard Hunter,r.hunter47@email.com,Online
C0303,Chad Conner,c.conner38@email.com,App
C0304,Stacy Harper,s.harper73@email.com,App
C0305,Joseph Russell,j.russell32@email.com,App
C0306,Autumn Ware,a.ware74@email.com,App
C0307,Adam Parker,a.parker54@email.com,In store
C0308,Paul Adams,p.adams10@email.com,In store
C0309,Sara Fox,s.fox96@email.com,In store
C0310,Glen Randolph,g.randolph97@email.com,Online
C0311,Scott Floyd,s.floyd75@email.com,In store
C0312,Janice Sims,j.sims96@email.com,Online
C0313,Wendy Massey,w.massey13@email.com,App
C0314,Linda Woods,l.woods50@email.com,Online
C0315,Barbara Bowers,b.bowers96@email.com,In store
C0316,Anna Solis,a.solis50@email.com,Online
C0317,Stephanie Perry,s.perry24@email.com,Online
C0318,Anthony Contreras,a.contreras19@email.com,Online
C0319,Shannon Alexander,s.alexander38@email.com,App
C0320,Michelle Kelly,m.kelly72@email.com,App
C0321,David Finley,d.finley27@email.com,App
C0322,Jennifer Mcgrath,j.mcgrath36@email.com,In store
C0323,Eric Jones,e.jones29@email.com,In store
C0324,Adam Gonzales,a.gonzales94@email.com,Online
C0325,Dale Rogers,d.rogers70@email.com,App
C0326,Alyssa Tanner,a.tanner83@email.com,In store
C0327,Christopher Martin,c.martin30@email.com,In store
C0328,Casey Ballard,c.ballard90@email.com,Online
C0329,Michelle Thompson,m.thompson37@email.com,Online
C0330,Shane Graham,s.graham69@email.com,Online
C0331,Jennifer Huerta,j.huerta67@email.com,Online
C0332,Emily Fernandez,e.fernandez90@email.com,In store
C0333,Andrew Smith,a.smith19@email.com,Online
C0334,William Davis,w.davis34@email.com,Online
C0335,James Clayton,j.clayton10@email.com,Online
C0336,Tammie Meyers,t.meyers85@email.com,In store
C0337,Kathy Powers,k.powers22@email.com,App
C0338,James Hernandez,j.hernandez10@email.com,App
C0339,Mary Cooper,m.cooper97@email.com,App
C0340,Jennifer Morton,j.morton65@email.com,App
C0341,David Hall,d.hall13@email.com,In store
C0342,Michael Nash,m.nash37@email.com,Online
C0343,Jenna Blankenship,j.blankenship45@email.com,In store
C0344,Jennifer Mcguire,j.mcguire68@email.com,App
C0345,Caitlin Huber,c.huber84@email.com,App
C0346,Emily Lopez,e.lopez62@email.com,Online
C0347,Sara Spence,s.spence93@email.com,In store
C0348,Stephen Schwartz,s.schwartz26@email.com,Online
C0349,Robert Price,r.price22@email.com,In store
C0350,Cynthia Grimes,c.grimes60@email.com,App
C0351,Joan Jones,j.jones13@email.com,Online
C0352,Clayton Coleman,c.coleman18@email.com,App
C0353,Jasmine Garcia,j.garcia91@email.com,In store
C0354,Gina Hayes,g.hayes83@email.com,In store
C0355,Lori Wood,l.wood38@email.com,App
C0356,Christopher Hernandez,c.hernandez14@email.com,App
C0357,Michelle Acevedo,m.acevedo79@email.com,App
C0358,Timothy Carey,t.carey44@email.com,In store
C0359,Kristen Norris,k.norris59@email.com,App
C0360,Kimberly Hall,k.hall33@email.com,In store
C0361,Shelley Mcguire,s.mcguire11@email.com,App
C0362,Lauren Bush,l.bush54@email.com,Online
C0363,Michael Taylor,m.taylor19@email.com,In store
C0364,Patricia Anderson,p.anderson46@email.com,App
C0365,Mary Mathews,m.mathews54@email.com,In store
C0366,Isaiah Tran,i.tran74@email.com,Online
C0367,Albert Peterson,a.peterson70@email.com,Online
C0368,Justin Chen,j.chen15@email.com,In store
C0369,Lauren Estrada,l.estrada27@email.com,App
C0370,Diane Orozco,d.orozco49@email.com,Online
C0371,Rachel Smith,r.smith54@email.com,In store
C0372,Dennis Fernandez,d.fernandez22@email.com,Online
C0373,Eric Hudson,e.hudson40@email.com,App
C0374,Richard Santana,r.santana59@email.com,App
C0375,Joseph Cook,j.cook93@email.com,App
C0376,Stephen Stewart,s.stewart54@email.com,App
C0377,Joshua Pierce,j.pierce88@email.com,Online
C0378,Eric Abbott,e.abbott20@email.com,Online
C0379,Michael Jacobs,m.jacobs22@email.com,Online
C0380,Christina Johnson,c.johnson43@email.com,In store
C0381,Daryl Wood,d.wood84@email.com,Online
C0382,Alexis Mcfarland,a.mcfarland85@email.com,Online
C0383,Lauren Johnson,l.johnson98@email.com,Online
C0384,Jamie Powers,j.powers30@email.com,In store
C0385,Latoya Boyd,l.boyd70@email.com,Online
C0386,Jacob Woods,j.woods47@email.com,App
C0387,Michael Thomas,m.thomas98@email.com,Online
C0388,Kimberly Cruz,k.cruz71@email.com,App
C0389,Corey Tate,c.tate11@email.com,Online
C0390,David Hunt,d.hunt66@email.com,App
C0391,Todd Austin,t.austin12@email.com,App
C0392,John Morales,j.morales13@email.com,Online
C0393,Cory Hughes,c.hughes79@email.com,Online
C0394,Ann Williams,a.williams50@email.com,In store
C0395,Timothy Fox,t.fox16@email.com,In store
C0396,Julie Cortez,j.cortez10@email.com,Online
C0397,Adam Eaton,a.eaton61@email.com,Online
C0398,Jennifer Barnett,j.barnett69@email.com,Online
C0399,Katherine Andrews,k.andrews77@email.com,Online
C0400,Jorge Riley,j.riley57@email.com,App
C0401,Brian Miller,b.miller54@email.com,App
C0402,Robert Barnes,r.barnes79@email.com,In store
C0403,Justin Olson,j.olson30@email.com,Online
C0404,Daniel Morgan,d.morgan84@email.com,Online
C0405,Martin Hayes,m.hayes45@email.com,App
C0406,Jason Reed,j.reed32@email.com,App
C0407,William Martinez,w.martinez36@email.com,Online
C0408,Ashley White,a.white29@email.com,App
C0409,Rachel Perez,r.perez51@email.com,In store
C0410,Michael Owens,m.owens64@email.com,App
C0411,Steve Shaw,s.shaw58@email.com,App
C0412,Nicholas Phillips,n.phillips84@email.com,Online
C0413,Stephen Griffin,s.griffin42@email.com,Online
C0414,Jasmine Larson,j.larson46@email.com,In store
C0415,Carla Horton,c.horton16@email.com,App
C0416,Christine Webb,c.webb20@email.com,App
C0417,Jennifer Proctor,j.proctor87@email.com,Online
C0418,Monique Adkins,m.adkins74@email.com,Online
C0419,Kayla Sandoval,k.sandoval40@email.com,App
C0420,Stephanie Robinson,s.robinson21@email.com,In store
C0421,Anthony May,a.may61@email.com,Online
C0422,Sergio Martin,s.martin39@email.com,App
C0423,Steven Daniels,s.daniels86@email.com,Online
C0424,Adrienne Rogers,a.rogers85@email.com,Online
C0425,Martha Hickman,m.hickman83@email.com,App
C0426,Dustin Serrano,d.serrano48@email.com,Online
C0427,Dustin Hodges,d.hodges91@email.com,Online
C0428,Marie Elliott,m.elliott65@email.com,App
C0429,Courtney Ellison,c.ellison25@email.com,Online
C0430,Carol Marshall,c.marshall73@email.com,In store
C0431,David Porter,d.porter20@email.com,App
C0432,Michael Murray,m.murray13@email.com,App
C0433,Alison Davidson,a.davidson24@email.com,App
C0434,Meghan Wilson,m.wilson90@email.com,In store
C0435,Catherine Cobb,c.cobb34@email.com,In store
C0436,Sarah Baker,s.baker75@email.com,App
C0437,Joshua Rivera,j.rivera54@email.com,In store
C0438,Brittany Snow,b.snow31@email.com,Online
C0439,Melinda Jacobs,m.jacobs85@email.com,App
C0440,Stephanie Moore,s.moore20@email.com,Online
C0441,Eric Fernandez,e.fernandez87@email.com,Online
C0442,Beth Pineda,b.pineda31@email.com,In store
C0443,Nathan Vaughan,n.vaughan88@email.com,App
C0444,Darius Salazar,d.salazar66@email.com,App
C0445,Tricia Martinez,t.martinez40@email.com,Online
C0446,Ann Ochoa,a.ochoa21@email.com,Online
C0447,Michael Allen,m.allen54@email.com,In store
C0448,Joseph Taylor,j.taylor10@email.com,Online
C0449,Kristie Johnson,k.johnson16@email.com,Online
C0450,Mary Sanchez,m.sanchez95@email.com,In store
C0451,Brandon Hunter,b.hunter55@email.com,App
C0452,Lindsey Watson,l.watson18@email.com,Online
C0453,Justin Ryan,j.ryan66@email.com,App
C0454,Peter Smith,p.smith61@email.com,In store
C0455,Lori Brown,l.brown92@email.com,Online
C0456,Anthony Martinez,a.martinez53@email.com,App
C0457,Kathryn Johnson,k.johnson15@email.com,In store
C0458,Sean Bryant,s.bryant55@email.com,App
C0459,Holly Smith,h.smith54@email.com,In store
C0460,Brandon Delgado,b.delgado37@email.com,Online
C0461,John Rojas,j.rojas41@email.com,In store
C0462,Kimberly Delgado,k.delgado62@email.com,App
C0463,Katherine Powell,k.powell39@email.com,In store
C0464,Mary Small,m.small40@email.com,In store
C0465,Ashley Lewis,a.lewis76@email.com,In store
C0466,Sarah Williams,s.williams37@email.com,Online
C0467,James Green,j.green95@email.com,Online
C0468,Anna Romero,a.romero92@email.com,In store
C0469,Jessica Romero,j.romero19@email.com,In store
C0470,Ryan Johnson,r.johnson61@email.com,Online
C0471,William Gray,w.gray10@email.com,In store
C0472,Brad Riley,b.riley77@email.com,In store
C0473,Jason Garrison,j.garrison87@email.com,App
C0474,Kelli Hayes,k.hayes33@email.com,App
C0475,Jason Stevens,j.stevens36@email.com,In store
C0476,Stacy Kim,s.kim48@email.com,In store
C0477,Jared Smith,j.smith93@email.com,Online
C0478,David Miller,d.miller45@email.com,In store
C0479,Rebecca Cortez,r.cortez14@email.com,In store
C0480,Paul Lowe,p.lowe19@email.com,In store
C0481,John Williams,j.williams62@email.com,Online
C0482,James Gibson,j.gibson83@email.com,In store
C0483,Susan Bridges,s.bridges37@email.com,Online
C0484,Scott Mcknight,s.mcknight26@email.com,In store
C0485,Jessica Bass,j.bass75@email.com,Online
C0486,Erica Long,e.long55@email.com,In store
C0487,Andrew Clay,a.clay18@email.com,In store
C0488,John Moses,j.moses88@email.com,In store
C0489,Joshua Briggs,j.briggs98@email.com,Online
C0490,Deborah Reed,d.reed37@email.com,App
C0491,Jesse Hunter,j.hunter56@email.com,In store
C0492,Brian James,b.james47@email.com,App
C0493,Tasha Acevedo,t.acevedo45@email.com,App
C0494,Christopher Mathews,c.mathews40@email.com,Online
C0495,Billy Diaz,b.diaz58@email.com,In store
C0496,Michael Mcgrath,m.mcgrath17@email.com,Online
C0497,Vanessa Nguyen,v.nguyen23@email.com,In store
C0498,Brian Wilson,b.wilson55@email.com,App
C0499,Craig Clark,c.clark25@email.com,Online
C0500,Anthony Whitehead,a.whitehead77@email.com,Online
C0501,Alexis Stanley,a.stanley77@email.com,Online
C0502,Lawrence Mercado,l.mercado84@email.com,App
C0503,Shawn Cox,s.cox84@email.com,App
C0504,Carl Meyer,c.meyer96@email.com,Online
C0505,Christian King,c.king69@email.com,Online
C0506,Natasha Murray,n.murray10@email.com,In store
C0507,Rhonda Miller,r.miller46@email.com,App
C0508,Brandon Reyes,b.reyes58@email.com,In store
C0509,Erin Webster,e.webster91@email.com,Online
C0510,Richard Garcia,r.garcia73@email.com,In store
C0511,Karen Perry,k.perry80@email.com,App
C0512,Allison Gonzalez,a.gonzalez60@email.com,App
C0513,Cynthia Harvey,c.harvey18@email.com,App
C0514,David Murphy,d.murphy94@email.com,In store
C0515,Shane Hunt,s.hunt51@email.com,In store
C0516,Jamie Chase,j.chase79@email.com,In store
C0517,Megan Allen,m.allen44@email.com,In store
C0518,Scott Hunter,s.hunter53@email.com,App
C0519,Austin Ross,a.ross52@email.com,In store
C0520,Terrence Larsen,t.larsen85@email.com,App
C0521,John Green,j.green53@email.com,Online
C0522,Jennifer Day,j.day47@email.com,In store
C0523,Jeremy Stevenson,j.stevenson34@email.com,In store
C0524,Bradley Delgado,b.delgado69@email.com,Online
C0525,Teresa Mills,t.mills74@email.com,Online
C0526,Ashley Smith,a.smith12@email.com,In store
C0527,Mackenzie Roberts,m.roberts23@email.com,In store
C0528,Becky James,b.james43@email.com,Online
C0529,Michele Dalton,m.dalton45@email.com,App
C0530,Wayne Burke,w.burke46@email.com,Online
C0531,Raven Salazar,r.salazar18@email.com,Online
C0532,Judy Smith,j.smith44@email.com,Online
C0533,Sara Lopez,s.lopez90@email.com,App
C0534,Gabrielle Mendez,g.mendez27@email.com,In store
C0535,Tammy Carroll,t.carroll34@email.com,App
C0536,Paul Hanna,p.hanna89@email.com,App
C0537,William Lewis,w.lewis98@email.com,App
C0538,Kevin Lin,k.lin25@email.com,App
C0539,Heather Schneider,h.schneider97@email.com,In store
C0540,James Perez,j.perez21@email.com,App
C0541,Angela Wall,a.wall68@email.com,In store
C0542,David Smith,d.smith46@email.com,In store
C0543,Holly Golden,h.golden92@email.com,Online
C0544,Isaac Savage,i.savage54@email.com,Online
C0545,Vincent Brown,v.brown92@email.com,Online
C0546,Steven Kennedy,s.kennedy21@email.com,Online
